ds,y,case
2019-09-08,0,paleo cranberry sauce: (United States)
2019-09-15,0,paleo cranberry sauce: (United States)
2019-09-22,0,paleo cranberry sauce: (United States)
2019-09-29,0,paleo cranberry sauce: (United States)
2019-10-06,3,paleo cranberry sauce: (United States)
2019-10-13,0,paleo cranberry sauce: (United States)
2019-10-20,0,paleo cranberry sauce: (United States)
2019-10-27,0,paleo cranberry sauce: (United States)
2019-11-03,3,paleo cranberry sauce: (United States)
2019-11-10,3,paleo cranberry sauce: (United States)
2019-11-17,12,paleo cranberry sauce: (United States)
2019-11-24,28,paleo cranberry sauce: (United States)
2019-12-01,6,paleo cranberry sauce: (United States)
2019-12-08,0,paleo cranberry sauce: (United States)
2019-12-15,3,paleo cranberry sauce: (United States)
2019-12-22,0,paleo cranberry sauce: (United States)
2019-12-29,0,paleo cranberry sauce: (United States)
2020-01-05,3,paleo cranberry sauce: (United States)
2020-01-12,0,paleo cranberry sauce: (United States)
2020-01-19,0,paleo cranberry sauce: (United States)
2020-01-26,0,paleo cranberry sauce: (United States)
2020-02-02,0,paleo cranberry sauce: (United States)
2020-02-09,0,paleo cranberry sauce: (United States)
2020-02-16,0,paleo cranberry sauce: (United States)
2020-02-23,0,paleo cranberry sauce: (United States)
2020-03-01,0,paleo cranberry sauce: (United States)
2020-03-08,0,paleo cranberry sauce: (United States)
2020-03-15,0,paleo cranberry sauce: (United States)
2020-03-22,0,paleo cranberry sauce: (United States)
2020-03-29,0,paleo cranberry sauce: (United States)
2020-04-05,0,paleo cranberry sauce: (United States)
2020-04-12,0,paleo cranberry sauce: (United States)
2020-04-19,2,paleo cranberry sauce: (United States)
2020-04-26,0,paleo cranberry sauce: (United States)
2020-05-03,0,paleo cranberry sauce: (United States)
2020-05-10,0,paleo cranberry sauce: (United States)
2020-05-17,3,paleo cranberry sauce: (United States)
2020-05-24,0,paleo cranberry sauce: (United States)
2020-05-31,0,paleo cranberry sauce: (United States)
2020-06-07,0,paleo cranberry sauce: (United States)
2020-06-14,0,paleo cranberry sauce: (United States)
2020-06-21,0,paleo cranberry sauce: (United States)
2020-06-28,0,paleo cranberry sauce: (United States)
2020-07-05,0,paleo cranberry sauce: (United States)
2020-07-12,0,paleo cranberry sauce: (United States)
2020-07-19,0,paleo cranberry sauce: (United States)
2020-07-26,0,paleo cranberry sauce: (United States)
2020-08-02,0,paleo cranberry sauce: (United States)
2020-08-09,0,paleo cranberry sauce: (United States)
2020-08-16,0,paleo cranberry sauce: (United States)
2020-08-23,0,paleo cranberry sauce: (United States)
2020-08-30,0,paleo cranberry sauce: (United States)
2020-09-06,0,paleo cranberry sauce: (United States)
2020-09-13,0,paleo cranberry sauce: (United States)
2020-09-20,0,paleo cranberry sauce: (United States)
2020-09-27,0,paleo cranberry sauce: (United States)
2020-10-04,0,paleo cranberry sauce: (United States)
2020-10-11,0,paleo cranberry sauce: (United States)
2020-10-18,0,paleo cranberry sauce: (United States)
2020-10-25,0,paleo cranberry sauce: (United States)
2020-11-01,0,paleo cranberry sauce: (United States)
2015-11-15,31,healthy cranberry sauce: (United States)
2015-11-22,41,healthy cranberry sauce: (United States)
2015-11-29,8,healthy cranberry sauce: (United States)
2015-12-06,9,healthy cranberry sauce: (United States)
2015-12-13,13,healthy cranberry sauce: (United States)
2015-12-20,10,healthy cranberry sauce: (United States)
2015-12-27,0,healthy cranberry sauce: (United States)
2016-01-03,4,healthy cranberry sauce: (United States)
2016-01-10,4,healthy cranberry sauce: (United States)
2016-01-17,7,healthy cranberry sauce: (United States)
2016-01-24,0,healthy cranberry sauce: (United States)
2016-01-31,4,healthy cranberry sauce: (United States)
2016-02-07,4,healthy cranberry sauce: (United States)
2016-02-14,0,healthy cranberry sauce: (United States)
2016-02-21,4,healthy cranberry sauce: (United States)
2016-02-28,0,healthy cranberry sauce: (United States)
2016-03-06,0,healthy cranberry sauce: (United States)
2016-03-13,0,healthy cranberry sauce: (United States)
2016-03-20,0,healthy cranberry sauce: (United States)
2016-03-27,0,healthy cranberry sauce: (United States)
2016-04-03,0,healthy cranberry sauce: (United States)
2016-04-10,4,healthy cranberry sauce: (United States)
2016-04-17,0,healthy cranberry sauce: (United States)
2016-04-24,0,healthy cranberry sauce: (United States)
2016-05-01,0,healthy cranberry sauce: (United States)
2016-05-08,0,healthy cranberry sauce: (United States)
2016-05-15,0,healthy cranberry sauce: (United States)
2016-05-22,4,healthy cranberry sauce: (United States)
2016-05-29,0,healthy cranberry sauce: (United States)
2016-06-05,4,healthy cranberry sauce: (United States)
2016-06-12,0,healthy cranberry sauce: (United States)
2016-06-19,0,healthy cranberry sauce: (United States)
2016-06-26,0,healthy cranberry sauce: (United States)
2016-07-03,0,healthy cranberry sauce: (United States)
2016-07-10,0,healthy cranberry sauce: (United States)
2016-07-17,0,healthy cranberry sauce: (United States)
2016-07-24,4,healthy cranberry sauce: (United States)
2016-07-31,0,healthy cranberry sauce: (United States)
2016-08-07,0,healthy cranberry sauce: (United States)
2016-08-14,4,healthy cranberry sauce: (United States)
2016-08-21,0,healthy cranberry sauce: (United States)
2016-08-28,4,healthy cranberry sauce: (United States)
2016-09-04,4,healthy cranberry sauce: (United States)
2016-09-11,0,healthy cranberry sauce: (United States)
2016-09-18,0,healthy cranberry sauce: (United States)
2016-09-25,0,healthy cranberry sauce: (United States)
2016-10-02,0,healthy cranberry sauce: (United States)
2016-10-09,4,healthy cranberry sauce: (United States)
